x,y,cnt
-0.89357719,-0.235515052,0
-0.927043706,-0.396243782,0
-0.162542646,-0.711178504,0
-0.233729821,-0.553924133,0
-0.049721444,-0.645494363,0
-0.209051573,-0.73608946,0
-0.347005343,-0.398324036,0
-0.912436194,-0.867532575,0
-0.85389648,-0.375375207,0
-0.184857321,-0.032370643,1
-0.344556222,-0.385201859,1
2.130440629,2.96322916,2
2.725460763,2.752532811,2
2.753402651,2.040321531,2
2.16330597,2.301396415,2
2.93607412,2.403821746,2
2.800679557,2.594637858,2
2.508213657,2.747569905,2
2.149970985,2.076858041,2
2.758412465,2.717161857,2
2.505515291,2.421265881,2
2.876521871,2.145726933,2
2.334852113,2.514062375,2
2.234271267,2.837863557,2
2.064695075,2.504055598,2
2.257367266,2.294113433,2
2.228355252,2.944608318,2
2.454624373,2.732830765,2
2.560300486,2.362370016,2
2.041444103,2.875571093,2
2.495487977,2.915636442,2
2.266341856,2.547914496,2
